categoriras,porcentagem
,0.004640371229698376
Java,0.22273781902552203
Business,0.027842227378190254
Object-Oriented Programming,0.009280742459396751
Microsoft,0.018561484918793503
Programming,0.027842227378190254
Next Generation Databases,0.002320185614849188
S,0.002320185614849188
Computer Graph,0.002320185614849188
Networking,0.016241299303944315
Computer Graphics,0.013921113689095127
Perl,0.013921113689095127
P,0.002320185614849188
Mobile,0.002320185614849188
Open Source,0.004640371229698376
Internet,0.0951276102088167
Object-Technology Programming,0.002320185614849188
Mobile Technology,0.013921113689095127
In Action,0.002320185614849188
Client-Server,0.025522041763341066
Web Development,0.03944315545243619
Microsoft/.NET,0.002320185614849188
Software Development,0.002320185614849188
Microsoft .NET,0.07888631090487239
Client Server,0.002320185614849188
XML,0.009280742459396751
Miscella,0.002320185614849188
PowerBuilder,0.016241299303944315
PHP,0.002320185614849188
.NET,0.002320185614849188
SOA,0.002320185614849188
Miscellaneous,0.004640371229698376
java,0.002320185614849188
Python,0.013921113689095127
Software Engineering,0.037122969837587005
Theory,0.016241299303944315
internet,0.002320185614849188
Algorithmic Art,0.002320185614849188
